imgt_subgroup	imgt_gene_name	imgt_allele_name	fct	chromosomal_localization	rearranged	transcribed	translated	chain
TRAV1	TRAV1-1	TRAV1-1*01	F	14q11.2	TRUE	TRUE		TRA
TRAV1	TRAV1-1	TRAV1-1*02	(F)	14q11.2	TRUE	TRUE		TRA
TRAV1	TRAV1-2	TRAV1-2*01	F	14q11.2	TRUE	TRUE		TRA
TRAV1	TRAV1-2	TRAV1-2*02	[F]	14q11.2				TRA
TRAV1	TRAV1-2	TRAV1-2*03	F	14q11.2				TRA
TRAV2	TRAV2	TRAV2*01	F	14q11.2	TRUE	TRUE		TRA
TRAV2	TRAV2	TRAV2*02	(F)	14q11.2	TRUE	TRUE		TRA
TRAV3	TRAV3	TRAV3*01	F	14q11.2	TRUE	TRUE		TRA
TRAV3	TRAV3	TRAV3*02	(P)	14q11.2	TRUE	TRUE		TRA
TRAV4	TRAV4	TRAV4*01	F	14q11.2	TRUE	TRUE		TRA
TRAV5	TRAV5	TRAV5*01	F	14q11.2	TRUE	TRUE		TRA
TRAV6	TRAV6	TRAV6*01	F	14q11.2				TRA
TRAV6	TRAV6	TRAV6*02	(F)	14q11.2	TRUE	TRUE		TRA
TRAV6	TRAV6	TRAV6*03	[F]	14q11.2	TRUE	TRUE		TRA
TRAV6	TRAV6	TRAV6*04	[F]	14q11.2				TRA
TRAV6	TRAV6	TRAV6*05	[F]	14q11.2				TRA
TRAV6	TRAV6	TRAV6*06	[F]	14q11.2				TRA
TRAV6	TRAV6	TRAV6*07	F	14q11.2				TRA
TRAV7	TRAV7	TRAV7*01	F	14q11.2				TRA
TRAV8	TRAV8-1	TRAV8-1*01	F	14q11.2	TRUE	TRUE		TRA
TRAV8	TRAV8-1	TRAV8-1*02	[F]	14q11.2				TRA
TRAV8	TRAV8-2	TRAV8-2*01	F	14q11.2				TRA
TRAV8	TRAV8-2	TRAV8-2*02	(F)	14q11.2	TRUE	TRUE		TRA
TRAV8	TRAV8-2	TRAV8-2*03	F	14q11.2				TRA
TRAV8	TRAV8-3	TRAV8-3*01	F	14q11.2				TRA
TRAV8	TRAV8-3	TRAV8-3*02	(F)	14q11.2	TRUE	TRUE		TRA
TRAV8	TRAV8-3	TRAV8-3*03	(F)	14q11.2	TRUE	TRUE		TRA
TRAV8	TRAV8-4	TRAV8-4*01	F	14q11.2	TRUE	TRUE		TRA
TRAV8	TRAV8-4	TRAV8-4*02	(F)	14q11.2	TRUE	TRUE		TRA
TRAV8	TRAV8-4	TRAV8-4*03	(F)	14q11.2	TRUE	TRUE		TRA
TRAV8	TRAV8-4	TRAV8-4*04	(F)	14q11.2	TRUE	TRUE		TRA
TRAV8	TRAV8-4	TRAV8-4*05	(F)	14q11.2	TRUE	TRUE		TRA
TRAV8	TRAV8-4	TRAV8-4*06	(F)	14q11.2	TRUE	TRUE		TRA
TRAV8	TRAV8-4	TRAV8-4*07	(F)	14q11.2	TRUE	TRUE		TRA
TRAV8	TRAV8-5	TRAV8-5*01	P	14q11.2				TRA
TRAV8	TRAV8-6	TRAV8-6*01	F	14q11.2	TRUE	TRUE		TRA
TRAV8	TRAV8-6	TRAV8-6*02	F	14q11.2	TRUE	TRUE		TRA
TRAV8	TRAV8-6-1	TRAV8-6-1*01	P	14q11.2				TRA
TRAV8	TRAV8-7	TRAV8-7*01	P	14q11.2				TRA
TRAV8	TRAV8-7	TRAV8-7*02	P	14q11.2				TRA
TRAV9	TRAV9-1	TRAV9-1*01	F	14q11.2				TRA
TRAV9	TRAV9-2	TRAV9-2*01	F	14q11.2	TRUE	TRUE		TRA
TRAV9	TRAV9-2	TRAV9-2*02	F	14q11.2	TRUE	TRUE		TRA
TRAV9	TRAV9-2	TRAV9-2*03	(F)	14q11.2	TRUE	TRUE		TRA
TRAV9	TRAV9-2	TRAV9-2*04	(F)	14q11.2	TRUE	TRUE		TRA
TRAV10	TRAV10	TRAV10*01	F	14q11.2	TRUE	TRUE		TRA
TRAV10	TRAV10	TRAV10*02	F	14q11.2				TRA
